name,description,price_min,rating,phone,address,opening_hours
Pokawa - Avignon,"Nos recettes : les pokés ! Sur une base de riz vinaigré, riz noir, quinoa ou carotte, nous ajoutons des légumes et des fruits fraîchement coupés et une protéine au choix : poissons crus marinés, crevettes, falafel, poulet ou aiguillettes végétales.",7.90€,N/A,0465872959,"7 rue Saint Jean Le Vieux - Place Pie, 84000 Avignon",Horaires d'été (juin à août) 10:00-23:30 et jusqu'à 00:00 pendant le festival d'Avignon
Confidentiel - Novotel Avignon Nord - Sorgues,"Le Confidentiel, c’est avant tout un lieu de vie ouvert, convivial et gourmand,",18€,8.4 Très bon,0490038509,"135 Avenue Louis Pasteur, 84700 Sorgues","Au déjeuner, tous les jours de 12h00 à 14h00. Au dîner, du lundi au samedi 19h00 à 22h30."
Café Roma - Avignon,"Venez déguster à l'ombre du Palais la cuisine inventive et gastronomique de la chef Italia Palladino en version POP. Le Café Roma est restaurant mais aussi café, bar à vin, salon de thé, salle pour événements, espace pour brunchs et apéritifs dinatoires.",12€,N/A,0490868677,"4, Rue des Escaliers Sainte-Anne, 84000 Avignon",N/A
Compagnie des Grands Bateaux de Provence - Croisières Restaurant Déjeuner ou Diner - Avignon,Évadez-vous le temps d’un déjeuner sous le ciel bleu de Provence ou d’un dîner au soleil couchant.,35€,9 Excellent,0490856225,"Allées de l'Oulle, 84000 Avignon","CROISIÈRES DEJEUNER : les samedis d'avril à octobre. | Sauf les samedis 07/06, 14/06 et 28/06 ; samedis 02/08 et 23/08 ; samedi 13/09. | CROISIÈRES DINER : les vendredis et samedis d'avril à octobre. | Sauf les samedis 07/06, 14/06 et 28/06 ; samedis 02/08 et 23/08 ; samedi 13/09. | CROISIÈRES BAL MUSETTE - 6 dates : | Samedi 7 juin | Samedi 14 juin | Samedi 28 juin | Samedi 2 aout | Samedi 23 aout | Samedi 13 septembre"
Chez Mamie - Avignon,"Au cœur du centre historique, rue Carnot, notre restaurant traditionnel français est situé sur un axe entièrement refait à neuf où il fait bon de se promener. Caroline et son équipe se feront un plaisir de vous faire découvrir notre cuisine authentique !",26€,N/A,0413390488,"41 - 43 rue Carnot, 84000 Avignon",de 12h à 14h et 19h à 22h.
Restaurant La Vieille Fontaine - Hôtel d'Europe - Avignon,"Au cœur de l'Hôtel d'Europe, dans un cadre raffiné et élégant, le chef Pascal Auger vous recevra sur la belle terrasse ombragée ou dans l'ambiance feutrée de la salle à manger mariant modernité et raffinement.",48€,8.8 Très bon,0490147676,"12, place Crillon, 84000 Avignon",De 12h à 13h15 et de 19h30 à 21h15. | Fermé jusqu'au 16 avril / Privatisation de l'établissement
Grand Café Barretta / Restaurant et Bar à Vin - Avignon,"Créé en 1773, c’est le plus ancien Café de la ville. Il eut Napoléon Bonaparte comme client, connut les grandes heures de l'histoire et reçut Frédéric Mistral à sa table pour renaître en 2018. Un nouveau lieu de détente et de rencontres.",10€,6 Moyen,0490015818,"14 Place Saint Didier, 84000 Avignon",Fermé du 19/02 au 4/03
La Mirande - Le Bistrot,"Une alternative au restaurant gastronomique le menu à la carte léger et décontracté de Florent Pietravalle est servi 7 jours sur 7, au Salon Jardin ou sur sa terrasse au pied du Palais des Papes.",17€,8.9 Très bon,+33490142020,"4, place de l'Amirande, Hôtel La Mirande, 84000 Avignon",N/A
Restaurant de l'Hôtel La Ferme - Avignon,"Cuisine généreuse, produits frais et cuisine 100% fait maison. Cadre calme et authentique, cheminée à l'ancienne. Détente en terrasse à l'ombre des platanes séculaires et de la glycine centenaire. Charme. Logis classé restaurant Savoureux en 2023.",39€,8.7 Très bon,0490825753,"110 chemin des Bois, Ile de la Barthelasse, 84000 Avignon",Ouverture pour le déjeuner pour groupe à partir de 15 personnes | Ouverture pour le déjeuner jours fériés ou pour groupe de plus de 15 personnes. | Ouverture déjeuner et diner tous les jours pendant le Festival d'Avignon. | Ouverture pour le déjeuner pour groupe de plus de 15 personnes
Restaurant Sevin - Avignon,"Le restaurant Sevin est un restaurant gastronomique accolé à la façade sud du Palais des Papes, situé dans un lieu unique, chargé d'histoire.",25€,9.2 Excellent,0490861650,"10, Rue de Mons, 84000 Avignon","Lundi, Mardi, Vendredi, Samedi, Dimanche : ouvert"
Maison de la Tour - Avignon,"Niché dans une petite rue calme de l'ancien quartier des Italiens, à",50€,8.8 Très bon,0986222973,"9 rue de la Tour, 84000 Avignon",N/A
Italie là-bas - Avignon,L'Italie en Provence. Restaurant gastronomique référencé BIB Gourmand par le guide Michelin où la jeune cheffe napolitaine Italia Palladino vous propose des plats créatifs qui naissent de la tradition authentique italienne.,40€,9.2 Excellent,0486816227,"23, Rue de la Bancasse, 84000 Avignon",N/A
Restaurant Le Moutardier du Pape et bar à vins - Avignon,"Face au Palais des Papes, en terrasse sur cette place majestueuse ou à l’intérieur de notre bâtisse du XVIIIe siècle... laissez vous séduire par la cuisine inventive et raffinée de notre chef Jean-Rémi Joli réalisée à partir de produits de saison.",12€,7.7 Bon,0667820533,"15, place du Palais des Papes, 84000 Avignon",N/A
Vivotto - Avignon,Un coin d'Italie au cœur du centre historique avec sa belle terrasse ombragée en été. Une cuisine saine gourmande et rapide dans une ambiance détendue et amicale.,11.95€,9 Excellent,0432763673,"34, rue des Trois Faucons, 84000 Avignon",N/A
Brasserie du Conservatoire et Bar à vins - Avignon,"Au coeur du centre historique, sur la Place Pie, face aux halles, ce restaurant bar vous accueille dans une ambiance cosy. Il dispose d'une grande terrasse où vous pourrez vous restaurer ou déguster un verre de vin à l'ombre de ses platanes centenaires.",12€,7.4 Bon,0490868642,"17/19, rue Saint-Jean le Vieux - Place Pie, 84000 Avignon",A partir de 7h jusqu'à 1h30
Les Cocottes Saint Louis - Cloître saint Louis - Avignon,"Dans un cloître du XVIe siècle, au calme en cœur de ville, ce restaurant avec sa magnifique salle voûtée et sa vue sur la cour du cloître vous accueille pour une cuisine qui évolue au fil des saisons.",N/A,7.6 Bon,0490275555,"20, Rue du Portail Boquier, 84000 Avignon",Petit déjeuner : 7h à 10h | Déjeuner : 12h à 14h | Diner : 19h à 21h
Le Carré du Palais - Avignon,"Le Carré du Palais est un lieu incontournable d'Avignon, Capitale des Côtes du Rhône.",N/A,9.2 Excellent,0465000101,"1 Place du Palais, 84000 Avignon",N/A
Kouk - cantine de quartier - Avignon,"Cantine du quartier, sans chichi, produits frais et cuisinés chaque matin. Bonne humeur et ambiance chaleureuse, adaptée à tous les budgets, les régimes alimentaires et les âges.",N/A,N/A,0635396209,"1 rue henri fabre, 84000 Avignon",N/A
LES TERRASSES DU ROUGE GORGE - Avignon,"De mai à octobre, le Rouge Gorge vous accueille en terrasse au pied du Palais des Papes pour vous proposer sa carte printemps-été de salades, tapas du monde, cocktails à l'ombre des oliviers, dans un cadre d'exception.",16€,N/A,0486342727,"10 bis, Place de l'Amirande, Place de l'Amirande, 84000 Avignon",N/A
Restaurant Pizzéria Le Pili - Avignon,Restaurant Pizzéria situé au centre historique sur une place avec sa fontaine et ses platanes. Nous avons 2 terrasses sur la place et une 3e derrière le restaurant donnant dans le square Agricol Perdiguier.,12€,N/A,0982599900,"34- 36 Place des Corps Saints, 84000 Avignon",Tous les jours de 12h à 15h et de 18h30 à 23h | Juillet & août de 12h à 23h
LE BISTRO'NOMIC - Avignon,"Brasserie méditerranéenne, avec terrasse sous platanes, offrant le meilleur de la cuisine du SUD dans une ambiance chaleureuse en plein cœur d’AVIGNON . A déguster: Tapas et Mezze, pastas et pizzas gourmandes, grillades à la braise et plats méridionaux",16€,N/A,0490271818,"Sarl Coludis, 36 Cours Jean Jaurès, 84000 Avignon",N/A
Les Gustaves - Mercure Avignon TGV - Avignon,Le restaurant gourmand et locavore Les Gustaves propose une cuisine fraîche et ouverte sur le monde avec un fort ancrage culinaire régional. Des produits de qualité et une carte de saison vous attendent pour une véritable escapade gustative !,24€,8.9 Très bon,0432768907,"2 Rue Mère Térésa, 84000 Avignon",N/A
Ibis-Kitchen - Restaurant de l'Hotel Ibis Avignon Sud - Avignon,"Située à l’entrée d’Avignon, point de départ idéal pour la découverte de la Cité de Papes et de la Provence, IBIS KITCHEN AVIGNON SUD vous accueille dans un ambiance simple et conviviale.",18€,7.9 Bon,0490871100,"71 Chemin de la Cristole (route de Marseille), MONTFAVET, 84140 Avignon",N/A
L'Epicerie de Ginette - Avignon,"Ginette et Marcel est devenu l’Épicerie de Ginette. Le concept n'a pas changé et on y va toujours pour manger des tartines à l’ancienne dans le décor vintage d'un bistrot français des années 40/50. Aux beaux jours, on privilégie la terrasse.",5.90€,9 Excellent,0490157864,"25-27, place des Corps Saints, 84000 Avignon",11:00 - 23:30 | 11:00 - 23:30 | 11:00 - 23:30 | 11:00 - 23:30 | 11:00 - 23:30 | 11:00 - 23:30 | 11:00 - 23:30 | Service après 22h
Casa Bronzini - Avignon,"Casa Bronzini, situé sur la célèbre Place de l’Horloge à Avignon, est ouvert 7j/7 pour vous faire découvrir une cuisine italienne authentique et généreuse. Profitez également d’une ambiance festive au bar les jeudis, vendredis et samedis.",5€,N/A,0490824098,"13 Place de l'Horloge, 84000 Avignon",De 07h30 à 00h30
Restaurant Place 70 - Estézargues,Le restaurant Place 70 se veut avant tout responsable. Le fait maison est au coeur de nos préoccupations. Sa décoration vintage à travers des objets de seconde vie vous plongera à coup sûr dans les belles années 70.,19€,8.5 Très bon,0466570308,"247 chemin de la Fenouillère, 30390 Estézargues","Du Lundi au jeudi de 17h à 23h | Vendredi, et Samedi de 17h à 00h."
OISEAU - Avignon,Oiseau à Avignon vous accueille dans un cadre chaleureux et convivial avec une cuisine fusion franco-asiatique. Salle intérieure climatisée et terrasse ombragée.,N/A,N/A,0670427682,"5 Rue Cabassole, 84000 Avignon","Du lundi au vendredi de : 12h00 à 14h00 | Et, 1 vendredi sur 2 : ouverture le soir | de 19h30 à 22h00 | Du lundi au vendredi de : 12h00 à 14h00 | Et, 1 vendredi sur 2 : ouverture le soir | de 19h30 à 22h00"
Le Violette - Collection Lambert - Avignon,Le Violette bénéficie d'une situation exceptionnelle au sein de l'Hôtel de Caumont qui abrite lui même la Collection Lambert d'art contemporain.,N/A,9.5 Excellent,0490853642,"5 rue Violette, 84000 Avignon",De 12h à 14h30 et de 19h30 à 21h30. | Fermé le mardi soir
Kozy - Villeneuve-lès-Avignon,"Restaurant bar à vin, au cœur de Villeneuve dans une déco chinée chaleureuse pour un moment entre amis ou en famille, autour de plats à partager. Ce lieu rempli d'histoire vous permet de profiter d'une cour intérieure et d'une terrasse sous les arcades.",7€,N/A,0486845110,"11, Rue de l'Hôpital, 30400 Villeneuve-lès-Avignon",Fermé | 18:00 - 00:00 | 18:00 - 00:00 | 18:00 - 00:00 | 18:00 - 00:00 | 18:00 - 00:00 | Fermé
Maison Del Cotto - Avignon,Restaurant italien situé au coeur de la ville dans un joli cadre avec ses spécialités italiennes,12€,8.3 Très bon,0490826091,"16-18 Rue des 3 Faucons, 84000 Avignon",N/A
L'Agape - Avignon,"Réalisée exclusivement à partir de produits frais de la région, la cuisine ""bistrot chic"" du chef Julien Gleize saura vous séduire par son élégance et ses saveurs joliment orchestrées.",20€,9.1 Excellent,0490850406,"21, place des Corps Saints, 84000 Avignon",Ouvert le mardi soir et du mercredi au samedi | de 12h à 13h15 (dernière prise de commande) et de 19h30 à 21h15 (dernière prise de commande. Horaires sur notre site
Naka - Avignon,"Restaurant traditionnel japonais situé en plein cœur de ville sur une place piétonne, calme et ombragée",13.90€,9.4 Excellent,0490821570,"4, Place de la Principale, 84000 Avignon",Ouvert de 12h à 14h15 et de 19h à 22h15
Restaurant Opéra café - Avignon,"Bienvenue à l'Opéra Café, un joyau situé au cœur de la place de l'Horloge à 84000. Notre brasserie vous offre une expérience culinaire exceptionnelle en service continue de 12h à 23h tout les jours, ouvert quotidiennement de 8h à 1h.",8€,N/A,0490861743,"24 place de l'Horloge, 24 place de l'Horloge, 84000 Avignon",SERVICE CONTINUE DE 12H à 23H
V&G Veggie et Gastro - Avignon,V&G Gastronomie vous propose une expérience végétarienne encore plus raffinée...,8€,9.5 Excellent,0490273797,"28 rue de la bonneterie, 84000 Avignon",Le dimanche nous proposons un bruch végétarien et vegan en formule unique.
Acte 2 - Avignon,Restaurant gastronomique intimiste,69€,N/A,0953993688,"3B rue de la Petite Calade, 84000 Avignon",N/A
Le 17 Place aux Vins Avignon • Bar à vin / Caviste - Avignon,Quel bon vin... vous amène ?,6€,N/A,0465810218,"74 Place des Corps Saints, 84000 Avignon",Heures d’ouverture du lundi au samedi de 10h à 15h et de 18h à 1h.
V&G Veggie et Gourmand - Avignon,"V&G, restaurant veggie vous propose de faire rimer cuisine végétarienne et plaisir",N/A,N/A,0988417179,"24 Rue de la Bonneterie, 84000 Avignon",De 11h30 à 14h et de 18h30 à 21h.
Lili Rosa - Vedène,N/A,N/A,N/A,+33(0)490270201,"Centre Commercial Buld'Air, 130 chemin Pont Blanc, 84270 Vedène",N/A
Auberge de Cassagne & Spa - Le Pontet,"Avec sa cuisine typiquement provençale recherchée par les gourmands du monde entier, le restaurant gastronomique de l'Auberge de Cassagne & Spa doit sa renommée à son chef, Philippe Boucher, disciple de Paul Bocuse et Georges Blanc.",80€,9.2 Excellent,0490310418,"450 allée de Cassagne, 84130 Le Pontet",Du | 1 février 2025 | au | 4 janvier 2026 | 12:00 - 13:30 | 19:30 - 21:15 | 12:00 - 13:30 | 19:30 - 21:15 | 12:00 - 13:30 | 19:30 - 21:15 | 12:00 - 13:30 | 19:30 - 21:15 | 12:00 - 13:30 | 19:30 - 21:15 | 12:00 - 13:30 | 19:30 - 21:15 | 12:00 - 13:30 | 19:30 - 21:15
Le Prieuré - Baumanière - Villeneuve-lès-Avignon,"A l'hôtel 5 étoiles Le Prieuré-Baumanière, notre restaurant vous propose deux options : la petite table du Prieuré au déjeuner (« à la carte » ou « à la braise ») et le restaurant gastronomique 1 étoile Michelin au dîner.",43€,8.6 Très bon,+33(0)490159015,"7 place du Chapitre, 30400 Villeneuve-lès-Avignon","La petite Table de 12h00 à 13h30 - | Le restaurant Gastronomique 1* de 19h30 à 21h15 (fermé les mardi en septembre, les mardis et mercredis en octobre et ouvert tous les jours du 16 juin au 31 août)."
Naturabsolu - Villeneuve-lès-Avignon,"Cuisine maison biologique, végétarienne et végan, réalisée avec des produits frais et de saison.",N/A,9.5 Excellent,0950760597,"10 place Saint Marc, 30400 Villeneuve-lès-Avignon","Midi et soir le lundi, mardi, vendredi et samedi | Jeudi : soir uniquement"
Le Bouzouki - Villeneuve-lès-Avignon,Plongez dans un joli décor de la Grèce antique pour venir déguster des spécialités grecques faites maison. Profitez de la terrasse d'été où s’entremêlent les effluves de jasmin et de roses ou de la véranda d' hiver avec vue sur le Fort Saint-André.,22€,8.7 Très bon,+33(0)490250664,"13 Chemin du Polygone, Route de Sauveterre, 30400 Villeneuve-lès-Avignon",congés annuels : 1 semaine en février | 3 semaines octobre/novembre | ouvert tous les soirs et vendredi samedi et dimanche midi
La Guinguette Velleronnaise - Velleron,"un havre de convivialité en bord de Sorgue dans l’authentique village de Velleron. Notre couple dynamique et passionné réinvente l’esprit Guinguette, où la convivialité rencontre le raffinement. Une cuisine ancrée dans la fraîcheur du marché.",N/A,N/A,04.90.94.85.84,"276 rue du Jas, 84740 Velleron",Fermé | 18:30 - 23:00 | 11:30 - 15:00 | 18:30 - 23:00 | 11:30 - 15:00 | 18:30 - 23:00 | 11:30 - 15:00 | 18:30 - 23:00 | 11:30 - 15:00 | 18:30 - 23:00 | 11:00 - 15:00
Comptoir des Frangines - Vedène,Qui oserait affirmer qu'il est impossible de bien manger dans un centre commercial ? Le Comptoir des frangines vous propose une cuisine de produits frais aux accents gastronomiques et volontairement accessible à tous !,24€,9.1 Excellent,0490270378,"130, Chemin du Pont Blanc, Shopping Centre Buld'Air,, 84270 Vedène",09:00 - 18:30 | 09:00 - 18:30 | 09:00 - 18:30 | 09:00 - 18:30 | 09:00 - 18:30 | 09:00 - 18:30 | Fermé
La Guinguette du Vieux Moulin - Villeneuve-lès-Avignon,"Restaurant guinguette, sur les berges du Rhône, côté Villeneuve-les-Avignon. Privatisation possible pour événements privés ou d'entreprises (salon privé).",10€,8.9 Très bon,0490146212,"5, rue du Vieux Moulin, 30400 Villeneuve-lès-Avignon",Fermé | 12:00 - 14:00 | 12:00 - 14:00 | 19:00 - 21:00 | 12:00 - 14:00 | 19:00 - 21:00 | 12:00 - 14:00 | 19:00 - 21:00 | 12:00 - 14:00 | 19:00 - 21:00 | 12:00 - 14:00
Timelo l'art de la pizza - Saze,Qui a dit qu’il fallait aller jusqu’en Italie pour savourer des pizzas alliant tradition et créativité ?,10€,9.3 Excellent,0490267051,"2 rue de l'Oratoire, 30650 Saze",Fermé | Fermé | 18:30 - 21:30 | 18:30 - 21:30 | 18:30 - 21:30 | 18:30 - 21:30 | Fermé
L'Art Brock Café - Velleron,"Rejoignez-nous à L’Art Brock Café pour une expérience inoubliable de boissons, de nourriture et d’art sur notre beau village de Velleron.",N/A,N/A,0981503120,"129 rue de la Frache, 84740 Velleron",Fermé | 09:00 - 21:00 | 09:00 - 21:00 | 09:00 - 21:00 | 09:00 - 23:00 | 09:00 - 23:00 | 09:00 - 13:00 | Fermé | 09:00 - 23:00 | 09:00 - 23:00 | 09:00 - 23:00 | 09:00 - 23:00 | 09:00 - 23:00 | 09:00 - 12:30
La Petite Cuillère - Villeneuve-lès-Avignon,"La Petite Cuillère, propose une cuisine maison et raffinée dans une ambiance conviviale midi et soir, puis se transforme en salon de thé cosy tout au long de la journée.",17€,8.9 Très bon,+33(0)490893079,"1 Square Dagmar Silhol, 30400 Villeneuve-lès-Avignon",N/A
L'Autre Table - Vedène,"Un esprit de famille et de convivialité pour cette table au centre de Vedène. La jeune Cheffe Cloé passionnée par son métier, vous fera découvrir différentes saveurs avec une pointe d’originalité. Une cuisine qui évolue en accords avec les saisons.",14€,9.7 Excellent,0490907476,"35 rue notre dame, 84270 Vedène",Fermé | 18:30 - 23:00 | 11:30 - 14:00 | 18:30 - 23:30 | 11:30 - 14:00 | 18:30 - 23:30 | 11:30 - 14:00 | 18:30 - 23:30 | 11:30 - 14:00 | 18:30 - 23:30 | 11:30 - 14:30
