nom,adresse,note,tarifs,horaires,moyens_paiement
Palais des Papes,Place du Palais des Papes,Avignon,"Plein tarif Du 01 janvier 2025 au 31 décembre 2025: 12 € - – Non communiqué; Tarif réduit Du 01 janvier 2025 au 31 décembre 2025: 10 € - – Non communiqué; Enfant Du 01 janvier 2025 au 31 décembre 2025 8-17 ans: 6,50 € - – Non communiqué",Lundi: Ouvert de 10h à 18h; Mardi: Ouvert de 10h à 18h; Mercredi: Ouvert de 10h à 18h; Jeudi: Ouvert de 10h à 18h; Vendredi: Ouvert de 10h à 18h; Samedi: Ouvert de 10h à 18h; Dimanche: Ouvert de 10h à 18h; Lundi: Ouvert de 09h à 19h; Mardi: Ouvert de 09h à 19h; Mercredi: Ouvert de 09h à 19h; Jeudi: Ouvert de 09h à 19h; Vendredi: Ouvert de 09h à 19h; Samedi: Ouvert de 09h à 19h; Dimanche: Ouvert de 09h à 19h; Lundi: Ouvert de 10h à 17h; Mardi: Ouvert de 10h à 17h; Mercredi: Ouvert de 10h à 17h; Jeudi: Ouvert de 10h à 17h; Vendredi: Ouvert de 10h à 17h; Samedi: Ouvert de 10h à 17h; Dimanche: Ouvert de 10h à 17h; Lundi: Ouvert de 10h à 18h; Mardi: Ouvert de 10h à 18h; Mercredi: Ouvert de 10h à 18h; Jeudi: Ouvert de 10h à 18h; Vendredi: Ouvert de 10h à 18h; Samedi: Ouvert de 10h à 18h; Dimanche: Ouvert de 10h à 18h,Patrimoine historique; Palais; Chèque; American Express; Carte bancaire/crédit; Espèces; Chèque-Vacances Classic; Salle de projection; Parking souterrain; Parking à vélo; Parking à proximité; Parking moto/scooter; Parking; Parking couvert; Parking payant; Salle d'exposition; Toilettes; Visites pédagogiques; Visite à thème; Boutique; Documentation Touristique; Informations touristiques; Visites guidées; Consigne
Hôtel de Ville,Place de l'Horloge,Non disponible,Aucun tarif disponible,Non disponible,Patrimoine historique; Beffroi / Tour de l'horloge
Musée Les Arcades,Avenue de la Pinède,Non disponible,Aucun tarif disponible,Mercredi: Ouvert de 13h30 à 17h,Histoire; Parking
Chapelle de l'Agache,Place de l'église,Non disponible,Aucun tarif disponible,Non disponible,Patrimoine religieux; Chapelle
Jardin de la chapelle Notre-Dame des Sept Douleurs,Avenue Pierre-Semard,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Jardin; Jardin botanique
Chapelle des Pénitents Gris,53 rue de la République,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Patrimoine historique; Patrimoine religieux; Chapelle; Visites gratuites
L'Espace du Lavoir,Place du Petit Pont,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert,Patrimoine historique; Lavoir; Climatisation; Défibrillateur; Parking à proximité; Documentation Touristique; Informations touristiques; Visites gratuites
Musée Angladon – Collection Jacques Doucet,"5, rue Laboureur",Avignon,"Plein tarif Du 01 février 2025 au 31 décembre 2025: 8 € - – Non communiqué; Tarif réduit Du 01 février 2025 au 31 décembre 2025 pour les personnes âgés de + de 60 ans et les familles nombreuses sur présentation de la carte.: 6,50 € - – Non communiqué",Mardi: Ouvert de 13h à 18h; Mercredi: Ouvert de 13h à 18h; Jeudi: Ouvert de 13h à 18h; Vendredi: Ouvert de 13h à 18h; Samedi: Ouvert de 13h à 18h; Mardi: Ouvert de 13h à 18h; Mercredi: Ouvert de 13h à 18h; Jeudi: Ouvert de 13h à 18h; Vendredi: Ouvert de 13h à 18h; Samedi: Ouvert de 13h à 18h; Dimanche: Ouvert de 13h à 18h; Mardi: Ouvert de 13h à 18h; Mercredi: Ouvert de 13h à 18h; Jeudi: Ouvert de 13h à 18h; Vendredi: Ouvert de 13h à 18h; Samedi: Ouvert de 13h à 18h,Arts et culture; Arts décoratifs; Beaux Arts; Ascenseur; Salle de projection; Salle de réunion; Visites pédagogiques; Visite à thème; Visites guidées
Archives Municipales – Musée du Mont de Piété et de la Condition des Soies,"6, rue Saluces",Avignon,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Histoire; Sciences et techniques; Métiers; Chèque; Espèces; Visites gratuites; Visites guidées
Collégiale de Roquemaure,Place Clément V,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Patrimoine religieux; Collégiale
Le jardin romain de Caumont-sur-Durance,Impasse de la Chapelle,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Jardin; Jardin d'agrément; Visites gratuites
Eglise paroissiale Saint Symphorien,Place de l'Église,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Patrimoine religieux; Eglise
Parc Municipal Bardi,Avenue Pierre de Coubertin,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Parc; Aire de jeux; Aire de pique-nique; Parking à proximité
Roues à Aube des Teinturiers,Rue des Teinturiers,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Boutique; Restauration
Hôtel d'Adhémar de Cransac,11 rue de Taulignan,Non disponible,Aucun tarif disponible,Lundi: Ouvert de 14h à 18h; Mardi: Ouvert de 14h à 18h; Mercredi: Ouvert de 14h à 18h; Jeudi: Ouvert de 14h à 18h; Vendredi: Ouvert de 14h à 18h; Samedi: Ouvert de 14h à 18h; Dimanche: Ouvert de 14h à 18h,Visites guidées
Musée des Curiosités – Église des Célestins,Musée des Curiosités – Église des Célestins,Avignon,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Non précisé
Parc Chico Mendes,160 allée de la Sacristie,Non disponible,Aucun tarif disponible,Lundi: Ferme à 07h30; Mardi: Ferme à 07h30; Mercredi: Ferme à 07h30; Jeudi: Ferme à 07h30; Vendredi: Ferme à 07h30; Samedi: Ferme à 07h30; Dimanche: Ferme à 07h30,Parc; Aire de jeux; Animaux acceptés
Jardin Ceccano,2 bis rue Laboureur,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Jardin; Jardin d'agrément
Chapelle des Pénitents Noirs,57 rue Banasterie,Non disponible,Aucun tarif disponible,Samedi: Ouvert de 14h à 17h,Patrimoine religieux; Chapelle
Place des Corps Saints,Place des Corps Saints,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Patrimoine historique; Palais
Chapelle Saint Symphorien,Impasse de la Chapelle,Non disponible,Aucun tarif disponible,Non disponible,Patrimoine religieux; Chapelle
"Palais du Roure, centre de culture provençale",3 rue Collège du Roure,Avignon,Aucun tarif disponible,Non disponible,Arts et culture; Arts et traditions populaires; Salle de réunion; Bibliothèque; Visites gratuites; Visites guidées
Basilique Saint-Pierre,Basilique Saint-Pierre,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Patrimoine religieux; Basilique
Place du Palais,Place du Palais,Avignon,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Patrimoine historique; Place
Musée du Petit Palais – Louvre en Avignon,Place du Palais des Papes,Avignon,Aucun tarif disponible,Non disponible,Beaux Arts; Peinture; Sculpture; Carte bancaire/crédit; Chèque; Espèces; Restauration; Visites gratuites; Visites guidées
Chapelle Saint-Louis,Rue du Portail Boquier,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Patrimoine religieux; Chapelle
Musée Louis Vouland,17 rue Victor Hugo,Avignon,Plein tarif Du 02 janvier 2025 au 31 décembre 2025: 8 € - – Non communiqué; Tarif réduit Du 02 janvier 2025 au 31 décembre 2025 Pour les moins de 26 ans et les demandeurs d'emploi: 5 € - – Non communiqué,Mardi: Ouvert de 14h à 18h; Mercredi: Ouvert de 14h à 18h; Jeudi: Ouvert de 14h à 18h; Vendredi: Ouvert de 14h à 18h; Samedi: Ouvert de 14h à 18h; Dimanche: Ouvert de 14h à 18h; Mardi: Ouvert de 13h à 18h; Mercredi: Ouvert de 13h à 18h; Jeudi: Ouvert de 13h à 18h; Vendredi: Ouvert de 13h à 18h; Samedi: Ouvert de 13h à 18h; Dimanche: Ouvert de 13h à 18h; Mardi: Ouvert de 14h à 18h; Mercredi: Ouvert de 14h à 18h; Jeudi: Ouvert de 14h à 18h; Vendredi: Ouvert de 14h à 18h; Samedi: Ouvert de 14h à 18h; Dimanche: Ouvert de 14h à 18h,Arts et culture; Arts décoratifs; Sciences et techniques; Faïence et Terre Cuite; Carte bancaire/crédit; Chèque; Espèces; Visites guidées
Les Bains Pommer,Les Bains Pommer,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Non précisé
Synagogue d'Avignon,Synagogue d'Avignon,Non disponible,Aucun tarif disponible,Lundi: Ouvert de 10h à 12h; Mardi: Ouvert de 10h à 12h; Mercredi: Ouvert de 10h à 12h; Jeudi: Ouvert de 10h à 12h; Vendredi: Ouvert de 10h à 12h,Patrimoine religieux; Synagogue; Auditorium; Visites gratuites; Visites guidées
Museum Requien – Musée d'Histoire Naturelle,67 rue Joseph Vernet,Avignon,Aucun tarif disponible,Non disponible,Sciences et techniques; Sciences naturelles; Animaux acceptés; Visites gratuites
Hôtel des Monnaies,Place du Palais,8.9/10,Aucun tarif disponible,Non disponible,Patrimoine historique; Hôtel particulier
Le jardin du musée Calvet,65 rue Joseph Vernet,Non disponible,Aucun tarif disponible,Jeudi: Ouvert; Lundi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert; Lundi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert; Samedi: Ouvert,Jardin
Maison Jean Vilar,8 rue de Mons,Avignon,Aucun tarif disponible,Mardi: Ouvert de 14h à 18h; Mercredi: Ouvert de 14h à 18h; Jeudi: Ouvert de 14h à 18h; Vendredi: Ouvert de 14h à 18h; Samedi: Ouvert de 14h à 18h,Arts et culture; Chèque; Espèces; Virement; Salle d'exposition; Bibliothèque; Salle de projection; Visites gratuites; Visites guidées
Parc de la Cantonne,cours des Frères Folcoaud,Non disponible,Aucun tarif disponible,Lundi: Ferme à 07h30; Mardi: Ferme à 07h30; Mercredi: Ferme à 07h30; Jeudi: Ferme à 07h30; Vendredi: Ferme à 07h30; Samedi: Ferme à 07h30; Dimanche: Ferme à 07h30,Parc; Aire de jeux
Les Remparts d'Avignon,84000 Avignon,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Visites gratuites
Chapelle des Pénitents Gris,8 Rue des Teinturiers,Non disponible,Aucun tarif disponible,Dimanche: Ouvert de 10h à 12h,Patrimoine religieux; Chapelle
Chapelle de l'Oratoire,32 rue Joseph Vernet,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Patrimoine religieux; Chapelle
Pont d'Avignon (Saint-Bénezet),Boulevard de la Ligne,Avignon,Plein tarif Du 01 janvier 2025 au 31 décembre 2025: 5 € - – Non communiqué; Tarif réduit Du 01 janvier 2025 au 31 décembre 2025: 4 € - – Non communiqué,Lundi: Ouvert de 10h à 18h; Mardi: Ouvert de 10h à 18h; Mercredi: Ouvert de 10h à 18h; Jeudi: Ouvert de 10h à 18h; Vendredi: Ouvert de 10h à 18h; Samedi: Ouvert de 10h à 18h; Dimanche: Ouvert de 10h à 18h; Lundi: Ouvert de 09h à 19h; Mardi: Ouvert de 09h à 19h; Mercredi: Ouvert de 09h à 19h; Jeudi: Ouvert de 09h à 19h; Vendredi: Ouvert de 09h à 19h; Samedi: Ouvert de 09h à 19h; Dimanche: Ouvert de 09h à 19h; Lundi: Ouvert de 10h à 17h; Mardi: Ouvert de 10h à 17h; Mercredi: Ouvert de 10h à 17h; Jeudi: Ouvert de 10h à 17h; Vendredi: Ouvert de 10h à 17h; Samedi: Ouvert de 10h à 17h; Dimanche: Ouvert de 10h à 17h; Lundi: Ouvert de 10h à 18h; Mardi: Ouvert de 10h à 18h; Mercredi: Ouvert de 10h à 18h; Jeudi: Ouvert de 10h à 18h; Vendredi: Ouvert de 10h à 18h; Samedi: Ouvert de 10h à 18h; Dimanche: Ouvert de 10h à 18h,American Express; Carte bancaire/crédit; Chèque; Chèque-Vacances Classic; Espèces; Ascenseur; Toilettes; Parking; Parking à proximité; Parking autocar; Parking à vélo; Animaux acceptés; Visites guidées; Marque Tourisme et Handicap – déficience auditive; Marque Tourisme et Handicap – déficience mentale; Marque Tourisme et Handicap – déficience motrice
Château de Fargues,Avenue Pierre de Coubertin,Non disponible,Aucun tarif disponible,Lundi: Ouvert de 09h à 18h; Mardi: Ouvert de 09h à 18h; Mercredi: Ouvert de 09h à 18h; Jeudi: Ouvert de 09h à 18h; Vendredi: Ouvert de 09h à 18h,Patrimoine historique; Château; Salle de réunion; Parking; Défibrillateur; Location de salles; Réservation de prestations
Les Remparts de Caumont,Rue de la Dévalade,Non disponible,Aucun tarif disponible,Non disponible,Patrimoine historique; Rempart
Musée Lapidaire,27 rue de la République,Avignon,Aucun tarif disponible,Non disponible,Sciences et techniques; Archéologie; Chèque; Espèces; Visites guidées
Jardin Sainte Claire et jardin Pétramale,Rue Pétramale,Non disponible,Aucun tarif disponible,Lundi: Ferme à 07h30; Mardi: Ferme à 07h30; Mercredi: Ferme à 07h30; Jeudi: Ferme à 07h30; Vendredi: Ferme à 07h30; Samedi: Ferme à 07h30; Dimanche: Ferme à 07h30,Jardin; Aire de jeux
Jardin de l'abbaye Saint-Ruf,avenue Moulin de Notre-Dame,Non disponible,Aucun tarif disponible,Lundi: Ferme à 07h30; Mardi: Ferme à 07h30; Mercredi: Ferme à 07h30; Jeudi: Ferme à 07h30; Vendredi: Ferme à 07h30; Samedi: Ferme à 07h30; Dimanche: Ferme à 07h30,Jardin; Aire de jeux
Chapelle des Pénitents Blancs,Place de l'Église,Non disponible,Aucun tarif disponible,Non disponible,Patrimoine religieux; Chapelle
Temple Saint-Martial,Temple Saint-Martial,Non disponible,Aucun tarif disponible,Dimanche: Ouvert,Patrimoine religieux; Temple
Chapelle Sainte-Claire,rue du Roi René,Non disponible,Aucun tarif disponible,Non disponible,Patrimoine historique; Patrimoine religieux; Ruines et vestiges; Chapelle
Archives Départementales de Vaucluse,Palais des papes – Place du Palais des Papes,Avignon,Aucun tarif disponible,Non disponible,Patrimoine historique; Bibliothèque
Clocher du couvent des Augustins,"20, rue Carreterie",Non disponible,Aucun tarif disponible,Non disponible,Patrimoine religieux; Clocher
Eglise Saint-Symphorien les Carmes,Eglise Saint-Symphorien les Carmes,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Dimanche: Ouvert,Patrimoine religieux; Eglise
Parc Champfleury,Avenue du Blanchissage,Non disponible,Aucun tarif disponible,Lundi: Ouvre à 07h30; Mardi: Ouvre à 07h30; Mercredi: Ouvre à 07h30; Jeudi: Ouvre à 07h30; Vendredi: Ouvre à 07h30; Samedi: Ouvre à 07h30; Dimanche: Ouvre à 07h30,Parc
Sanctuaire Notre Dame de Grâce,Route d'Orange,Non disponible,Aucun tarif disponible,Lundi: Ouvert de 08h à 19h; Mardi: Ouvert de 08h à 19h; Mercredi: Ouvert de 08h à 19h; Jeudi: Ouvert de 08h à 19h; Vendredi: Ouvert de 08h à 19h; Samedi: Ouvert de 08h à 19h; Dimanche: Ouvert de 08h à 19h,Patrimoine religieux; Monastère; Site religieux; Espèces; Toilettes; Parking; Restaurant; Boutique; Réservation de prestations; Restauration; Visites gratuites; Visites guidées
Les jardins remarquables de l'Abbaye Saint-André,Abbaye Saint-André – Fort Saint-André,Non disponible,"Plein tarif Du 01 mars 2025 au 31 octobre 2025: 9,50 € - – Non communiqué; Tarif réduit Du 01 mars 2025 au 31 octobre 2025: 8 € - – Non communiqué",Mercredi: Ouvert de 10h à 13h et de 14h à 17h; Jeudi: Ouvert de 10h à 13h et de 14h à 17h; Vendredi: Ouvert de 10h à 13h et de 14h à 17h; Samedi: Ouvert de 10h à 13h et de 14h à 17h; Dimanche: Ouvert de 10h à 13h et de 14h à 17h; Lundi: Ouvert de 10h à 18h; Mardi: Ouvert de 10h à 18h; Mercredi: Ouvert de 10h à 18h; Jeudi: Ouvert de 10h à 18h; Vendredi: Ouvert de 10h à 18h; Samedi: Ouvert de 10h à 18h; Dimanche: Ouvert de 10h à 18h; Lundi: Ouvert de 10h à 13h et de 14h à 17h; Mardi: Ouvert de 10h à 13h et de 14h à 17h; Mercredi: Ouvert de 10h à 13h et de 14h à 17h; Jeudi: Ouvert de 10h à 13h et de 14h à 17h; Vendredi: Ouvert de 10h à 13h et de 14h à 17h; Samedi: Ouvert de 10h à 13h et de 14h à 17h; Dimanche: Ouvert de 10h à 13h et de 14h à 17h,Jardin; Jardin botanique
Collégiale Notre-Dame et son cloître,Place Meissonnier,Non disponible,Aucun tarif disponible,Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Patrimoine historique; Patrimoine religieux; Collégiale; Parking; Défibrillateur; Parking à proximité; Parking gratuit; Visites gratuites
Tour Philippe-le-Bel,Montée de la Tour,Non disponible,"Plein tarif Du 01 février 2025 au 30 décembre 2025: 4,50 € - – Non communiqué; Tarif réduit Du 01 février 2025 au 30 décembre 2025: 3,50 € - – Non communiqué",Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Ouvrage d'art; Château fort; Patrimoine historique; Tour; Carte bancaire/crédit; Chèque; Espèces; Paiement sans contact; Toilettes; Salle d'exposition; Parking; Défibrillateur; Parking à proximité; Parking gratuit; Animaux acceptés
Fort Saint-André,Fort Saint-André Centre des monuments nationaux,Non disponible,"Plein tarif Du 02 janvier 2025 au 31 décembre 2025: 7 € - – Non communiqué; Groupe adultes Du 02 janvier 2025 au 31 décembre 2025 à partir de 20 adultes payants: 5,50 € - – Non communiqué",Lundi: Ouvert de 10h à 13h et de 14h à 17h; Mardi: Ouvert de 10h à 13h et de 14h à 17h; Mercredi: Ouvert de 10h à 13h et de 14h à 17h; Jeudi: Ouvert de 10h à 13h et de 14h à 17h; Vendredi: Ouvert de 10h à 13h et de 14h à 17h; Samedi: Ouvert de 10h à 13h et de 14h à 17h; Dimanche: Ouvert de 10h à 13h et de 14h à 17h; Lundi: Ouvert de 10h à 13h et de 14h à 18h; Mardi: Ouvert de 10h à 13h et de 14h à 18h; Mercredi: Ouvert de 10h à 13h et de 14h à 18h; Jeudi: Ouvert de 10h à 13h et de 14h à 18h; Vendredi: Ouvert de 10h à 13h et de 14h à 18h; Samedi: Ouvert de 10h à 13h et de 14h à 18h; Dimanche: Ouvert de 10h à 13h et de 14h à 18h; Lundi: Ouvert de 10h à 13h et de 14h à 17h; Mardi: Ouvert de 10h à 13h et de 14h à 17h; Mercredi: Ouvert de 10h à 13h et de 14h à 17h; Jeudi: Ouvert de 10h à 13h et de 14h à 17h; Vendredi: Ouvert de 10h à 13h et de 14h à 17h; Samedi: Ouvert de 10h à 13h et de 14h à 17h; Dimanche: Ouvert de 10h à 13h et de 14h à 17h,Patrimoine historique; Carte bancaire/crédit; Chèque; Chèque-Vacances Classic; Espèces; Chèque Culture; WC publics; Parking; Animaux acceptés; Visites pédagogiques; Boutique; Visites guidées
